iter	Passed	Remaining
0	6	6827
1	17	8737
2	24	8256
3	29	7397
4	33	6630
5	36	6068
6	39	5654
7	43	5345
8	46	5121
9	49	4852
10	51	4626
11	54	4458
12	56	4310
13	59	4186
14	61	4048
15	63	3910
16	65	3788
17	67	3687
18	69	3599
19	71	3524
20	74	3458
21	76	3407
22	78	3350
23	80	3288
24	82	3235
25	85	3185
26	86	3133
27	88	3086
28	91	3062
29	94	3064
30	96	3025
31	99	2997
32	101	2962
33	103	2931
34	105	2919
35	108	2902
36	110	2878
37	112	2855
38	114	2832
39	117	2826
40	119	2803
41	122	2783
42	124	2766
43	126	2746
44	128	2724
45	130	2701
46	132	2678
47	134	2661
48	136	2644
49	138	2633
50	141	2634
51	144	2634
52	146	2615
53	148	2596
54	150	2582
55	152	2566
56	154	2562
57	157	2556
58	159	2545
59	161	2529
60	163	2515
61	165	2503
62	167	2488
63	169	2475
64	171	2471
65	173	2459
66	176	2451
67	178	2446
68	180	2435
69	182	2423
70	184	2410
71	186	2407
72	189	2401
73	190	2388
74	192	2377
75	194	2369
76	196	2358
77	198	2347
78	200	2335
79	202	2334
80	205	2329
81	207	2320
82	209	2313
83	211	2307
84	213	2298
85	215	2292
86	218	2288
87	220	2282
88	222	2277
89	224	2270
90	226	2262
91	228	2253
92	230	2245
93	232	2237
94	234	2236
95	236	2231
96	239	2228
97	241	2222
98	243	2216
99	245	2208
100	247	2201
101	249	2197
102	251	2194
103	254	2193
104	257	2192
105	259	2186
106	261	2180
107	263	2173
108	265	2170
109	267	2166
110	270	2164
111	272	2157
112	273	2150
113	275	2143
114	277	2137
115	279	2131
116	281	2128
117	283	2122
118	285	2115
119	287	2109
120	289	2102
121	291	2095
122	293	2089
123	294	2082
124	296	2078
125	299	2074
126	300	2068
127	302	2063
128	304	2057
129	306	2051
130	308	2046
131	310	2040
132	312	2036
133	315	2038
134	318	2043
135	321	2044
136	324	2045
137	327	2043
138	329	2040
139	331	2035
140	333	2030
141	335	2027
142	337	2021
143	339	2016
144	341	2010
145	342	2005
146	345	2004
147	347	2000
148	349	1997
149	351	1992
150	353	1986
151	355	1982
152	357	1977
153	358	1972
154	361	1968
155	363	1965
156	365	1960
157	367	1955
158	368	1950
159	370	1945
160	372	1941
161	374	1936
162	376	1933
163	378	1929
164	380	1924
165	382	1920
166	384	1915
167	385	1911
168	387	1906
169	389	1902
170	391	1898
171	393	1895
172	395	1891
173	397	1887
174	399	1882
175	401	1878
176	403	1874
177	404	1870
178	406	1865
179	409	1863
180	411	1862
181	413	1857
182	415	1854
183	417	1851
184	419	1848
185	421	1846
186	424	1843
187	426	1843
188	429	1841
189	431	1839
190	434	1838
191	436	1836
192	438	1833
193	440	1831
194	443	1831
195	446	1830
196	448	1829
197	451	1827
198	453	1823
199	455	1822
200	458	1821
201	460	1820
202	463	1820
203	466	1819
204	469	1818
205	472	1819
206	475	1820
207	478	1820
208	480	1819
209	484	1822
210	487	1821
211	490	1823
212	492	1821
213	495	1819
214	497	1816
215	499	1812
216	501	1808
217	502	1804
218	505	1802
219	508	1804
220	510	1800
221	512	1797
222	515	1794
223	517	1791
224	519	1787
225	521	1787
226	524	1786
227	526	1784
228	529	1781
229	531	1780
230	534	1777
231	537	1777
232	540	1780
233	543	1779
234	545	1777
235	548	1774
236	550	1772
237	553	1770
238	555	1769
239	557	1766
240	559	1763
241	562	1761
242	564	1757
243	566	1755
244	569	1754
245	572	1754
246	574	1752
247	577	1752
248	580	1752
249	584	1753
250	587	1752
251	589	1751
252	592	1748
253	594	1746
254	597	1744
255	599	1743
256	603	1744
257	606	1743
258	609	1743
259	612	1741
260	614	1738
261	617	1738
262	619	1737
263	623	1738
264	627	1739
265	629	1738
266	632	1737
267	635	1736
268	638	1735
269	641	1733
270	643	1730
271	645	1728
272	648	1726
273	650	1724
274	653	1721
275	655	1719
276	657	1716
277	660	1714
278	662	1712
279	666	1714
280	668	1710
281	670	1706
282	672	1704
283	674	1700
284	678	1701
285	681	1702
286	683	1698
287	685	1695
288	687	1692
289	690	1690
290	693	1690
291	698	1694
292	701	1693
293	703	1690
294	705	1686
295	707	1683
296	709	1679
297	711	1676
298	714	1674
