iter	Passed	Remaining
0	10	1029
1	18	905
2	26	868
3	33	797
4	40	761
5	47	739
6	53	711
7	60	690
8	67	678
9	73	661
10	79	646
11	85	630
12	92	620
13	99	612
14	105	599
15	114	599
16	122	595
17	129	590
18	135	579
19	142	570
20	149	561
21	155	552
22	161	540
23	167	531
24	174	524
25	181	517
26	188	509
27	194	500
28	200	491
29	207	483
30	213	474
31	219	465
32	225	458
33	232	450
34	238	443
35	245	436
36	251	428
37	257	420
38	264	413
39	270	406
40	277	398
41	283	391
42	289	383
43	295	376
44	302	369
45	308	362
46	314	355
47	321	348
48	327	340
49	334	334
50	341	327
51	347	320
52	353	313
53	359	306
54	366	299
55	372	292
56	378	285
57	385	278
58	391	272
59	397	265
60	403	258
61	410	251
62	416	244
63	423	238
64	429	231
65	436	224
66	442	218
67	449	211
68	456	204
69	462	198
70	468	191
71	474	184
72	480	177
73	487	171
74	494	164
75	501	158
76	509	152
77	517	146
78	523	139
79	530	132
80	536	125
81	542	119
82	548	112
83	555	105
84	561	99
85	567	92
86	573	85
87	580	79
88	587	72
89	594	66
90	599	59
91	606	52
92	612	46
93	617	39
94	623	32
95	629	26
96	637	19
97	643	13
98	649	6
99	656	0
